% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 28 2022, 23:51"
% Table,Table 2 - Surface Integration 1
% shift (m),I_0 (A),d_cover (m),r_0 (m),-mf.Jphi*mf.Br (N)
1.0E-4,1,7.0E-4,2.0E-4,1.2927614077990959
1.0E-4,1,7.0E-4,3.0000000000000003E-4,0.2553602780835478
1.0E-4,1,7.0E-4,4.0E-4,0.08079758798735491
1.0E-4,1,7.0E-4,5.0E-4,0.03309469203964514
1.0E-4,1,8.0E-4,1.0E-4,31.05792658384054
1.0E-4,1,8.0E-4,2.0E-4,1.9411204114928593
1.0E-4,1,8.0E-4,3.0000000000000003E-4,0.3834311923936527
1.0E-4,1,8.0E-4,4.0E-4,0.12132002571829612
1.0E-4,1,8.0E-4,5.0E-4,0.04969268253414908
1.0E-4,1,9.0E-4,1.0E-4,31.56441474767147
1.0E-4,1,9.0E-4,2.0E-4,1.972775921729467
1.0E-4,1,9.0E-4,3.0000000000000003E-4,0.3896841326872921
1.0E-4,1,9.0E-4,4.0E-4,0.12329849510801542
1.0E-4,1,9.0E-4,5.0E-4,0.05050306359624262
1.0E-4,1,0.001,1.0E-4,22.29752997401848
1.0E-4,1,0.001,2.0E-4,1.393595623376155
1.0E-4,1,0.001,3.0000000000000003E-4,0.27527814782797044
1.0E-4,1,0.001,4.0E-4,0.0870997264611834
1.0E-4,1,0.001,5.0E-4,0.03567604795849858
1.0E-4,1,0.0011,1.0E-4,7.811500248504133
1.0E-4,1,0.0011,2.0E-4,0.48821876553150834
1.0E-4,1,0.0011,3.0000000000000003E-4,0.09643827467309699
1.0E-4,1,0.0011,4.0E-4,0.030513672845783334
1.0E-4,1,0.0011,5.0E-4,0.012498400397665175
1.0E-4,1,0.0012000000000000001,1.0E-4,0.9319109587503899
1.0E-4,1,0.0012000000000000001,2.0E-4,0.058244434922636104
1.0E-4,1,0.0012000000000000001,3.0000000000000003E-4,0.011505073564430522
1.0E-4,1,0.0012000000000000001,4.0E-4,0.0036402771826187104
1.0E-4,1,0.0012000000000000001,5.0E-4,0.00149105753395021
1.0E-4,1,0.0013,1.0E-4,3.258020890795842
